run,seed,step,hazard,alpha,pL_d3,pL_d5,pL_d7
3,4388,24,0.0,0.01,0.08,0.02,0.0
3,4388,25,0.0,0.01,0.1,0.0,0.0
3,4388,26,0.0,0.01,0.06,0.0,0.0
3,4388,27,0.0,0.01,0.08,0.02,0.0
3,4388,28,0.0,0.01,0.08,0.0,0.0
3,4388,29,0.0,0.01,0.12,0.0,0.0
3,4388,30,0.0,0.01,0.14,0.02,0.0
3,4388,31,0.0,0.01,0.1,0.0,0.0
3,4388,32,0.0,0.01,0.04,0.0,0.0
3,4388,33,0.0,0.01,0.12,0.04,0.0
3,4388,34,0.0,0.01,0.1,0.0,0.0
3,4388,35,0.0,0.01,0.12,0.0,0.0
3,4388,36,0.0,0.01,0.14,0.0,0.0
3,4388,37,0.0,0.01,0.14,0.0,0.0
3,4388,38,0.0,0.01,0.32,0.04,0.0
3,4388,39,0.0,0.01,0.2,0.02,0.0
3,4388,40,0.0,0.01,0.4,0.0,0.0
3,4388,41,0.0,0.01,0.16,0.04,0.0
3,4388,42,0.0,0.01,0.3,0.02,0.0
3,4388,43,0.0,0.01,0.24,0.02,0.0
3,4388,44,0.0,0.01,0.28,0.02,0.0
3,4388,45,0.0,0.01,0.24,0.02,0.0
3,4388,46,0.0,0.01,0.24,0.0,0.0
3,4388,47,0.0,0.01,0.36,0.0,0.0
3,4388,48,0.0,0.01,0.3,0.02,0.0
3,4388,49,0.0,0.01,0.38,0.02,0.0
3,4388,50,0.04,0.01,0.32,0.02,0.04
3,4388,51,0.0,0.01,0.24,0.04,0.0
3,4388,52,0.0,0.01,0.18,0.02,0.0
3,4388,53,0.0,0.01,0.28,0.0,0.0
3,4388,54,0.02,0.01,0.28,0.02,0.02
3,4388,55,0.0,0.01,0.18,0.06,0.0
3,4388,56,0.0,0.01,0.28,0.06,0.0
3,4388,57,0.0,0.01,0.28,0.02,0.0
3,4388,58,0.0,0.01,0.12,0.06,0.0
3,4388,59,0.0,0.01,0.24,0.04,0.0
3,4388,60,0.0,0.01,0.32,0.02,0.0
3,4388,61,0.0,0.01,0.26,0.04,0.0
3,4388,62,0.0,0.01,0.4,0.02,0.0
3,4388,63,0.0,0.01,0.24,0.0,0.0
3,4388,64,0.0,0.01,0.36,0.04,0.0
3,4388,65,0.0,0.01,0.28,0.0,0.0
3,4388,66,0.0,0.01,0.32,0.0,0.0
